name,season,status,tv_network,ano
The Trade,,,Showtime,2017
untitled Halo series (Spielberg),starts tbd,Project delayed but possibly still alive,Showtime,2017
White Famous,,Canceled 12/29,Showtime,2017
3%,SEASON 2,Brazilian series; renewed 6/4,Netflix,2017
13 Reasons Why,SEASON 2,Renewed for a 3rd season on 6/6/18,Netflix,2017
21 Thunder,,Canadian series,Netflix,2017
The Adventures of Puss in Boots,SEASON 5,,Netflix,2017
The Adventures of Puss in Boots,SEASON 6,,Netflix,2017
Aggretsuko,,Anime; renewed 7/6/18,Netflix,2017
A.I.C.O. Incarnation,,Anime,Netflix,2017
Alexa & Katie,,Renewed for a 2nd season on 4/9,Netflix,2017
Alias Grace,,Miniseries,Netflix,2017
All Hail King Julien,SEASON 5,,Netflix,2017
Altered Carbon,,Renewed for a 2nd season on 7/27/18,Netflix,2017
American Vandal,,Renewed for a 2nd season on 10/26,Netflix,2017
AMO,,Philippine series,Netflix,2017
Anne With an E,SEASON 2 starts tbd 2018,,Netflix,2017
Arrested Development,SEASON 5,Two-part season (part 2 date is tbd),Netflix,2017
Atypical,,Renewed for a 2nd season on 9/13,Netflix,2017
B: The Beginning,,Anime (fka Perfect Bones); renewed 6/12/18,Netflix,2017
Babylon Berlin,,German series,Netflix,2017
Bad Guys: Vile City,,Korean series,Netflix,2017
Big Mouth,,Renewed for a 2nd season on 10/24,Netflix,2017
Bill Nye Saves the World,SEASON 2,,Netflix,2017
Bill Nye Saves the World,SEASON 3,,Netflix,2017
Black Mirror,SEASON 4,Renewed for a 5th season on 3/5,Netflix,2017
Blazing Transfer Students,,Japanese series,Netflix,2017
BoJack Horseman,SEASON 4,Renewed for a 5th season on 9/21,Netflix,2017
Bonus Family (Bonusfamiljen),,Swedish series,Netflix,2017
The Boss Baby: Back in Business,,,Netflix,2017
The Break With Michelle Wolf,,,Netflix,2017
Cable Girls,SEASON 2,Spanish series,Netflix,2017
Castlevania,,Renewed 7/7,Netflix,2017
The Chalet,,French series,Netflix,2017
Charité,,German miniseries,Netflix,2017
Children of the Whales,,Anime,Netflix,2017
Coach Snoop,,,Netflix,2017
Collateral,,UK miniseries,Netflix,2017
Comedians in Cars Getting Coffee,SEASON 10,,Netflix,2017
The Confession Tapes,,,Netflix,2017
The Crown,SEASON 2,Renewed through S4,Netflix,2017
Dark,,German series; renewed 12/20,Netflix,2017
Dawn of the Croods,SEASON 4,,Netflix,2017
Dear White People,SEASON 2,Renewed for a 3rd season on 6/21/18,Netflix,2017
Degrassi: Next Class,SEASON 4,,Netflix,2017
Devilman Crybaby,,Anime,Netflix,2017
Dinotrux,SEASON 5,,Netflix,2017
Dinotrux Supercharged,,,Netflix,2017
Dinotrux Supercharged,SEASON 2,,Netflix,2017
Dirty Money,,Documentary series,Netflix,2017
Disjointed,,Canceled 2/14,Netflix,2017
Dope,SEASON 2,,Netflix,2017
DreamWorks Dragons: Race to the Edge,SEASON 5,,Netflix,2017
DreamWorks Dragons: Race to the Edge,SEASON 6,,Netflix,2017
Easy,SEASON 2,Renewed for a 3rd and final season 8/23/18,Netflix,2017
Edha,,Argentinian series,Netflix,2017
El Chapo,SEASON 2,,Netflix,2017
El Ministerio del Tiempo,SEASON 3,Spanish series,Netflix,2017
The End of the F***ing World,,Renewed for a 2nd season on 8/21/18,Netflix,2017
Erased,,Japanese series,Netflix,2017
Everything Sucks!,,Canceled 4/6,Netflix,2017
Evil Genius,,Miniseries,Netflix,2017
F Is for Family,SEASON 2,Renewed for a 3rd season on 6/28,Netflix,2017
Fate/Apocrypha,,Anime,Netflix,2017
Fauda,SEASON 2,,Netflix,2017
Final Fantasy XIV: Dad of Light,,Japanese series,Netflix,2017
Flaked,SEASON 2,,Netflix,2017
Flint Town,,,Netflix,2017
The Frankenstein Chronicles,,Both seasons will stream at once,Netflix,2017
Friends From College,,Renewed for a 2nd season on 8/21,Netflix,2017
Frontier,SEASON 2,Renewed for a 3rd season on 12/14,Netflix,2017
Fuller House,SEASON 3,Renewed for a 4th season on 1/29,Netflix,2017
Glacé,,French series,Netflix,2017
Glitch,SEASON 2,Australian series,Netflix,2017
Glitter Force Doki Doki,,,Netflix,2017
Glitter Force Doki Doki,SEASON 2,,Netflix,2017
GLOW,,Renewed for a 2nd season on 8/10,Netflix,2017
Godless,,Miniseries,Netflix,2017
Good Morning Call,SEASON 2,Japanese series,Netflix,2017
Grace and Frankie,SEASON 4,Renewed for a 5th season on 2/14,Netflix,2017
Greenhouse Academy,,,Netflix,2017
Greenhouse Academy,SEASON 2,,Netflix,2017
Gypsy,,Canceled 8/11,Netflix,2017
Haters Back Off,SEASON 2,Canceled 12/1,Netflix,2017
"Hello, My Twenties!",SEASON 2,Korean series,Netflix,2017
Home: Adventures With Tip & Oh,SEASON 3,,Netflix,2017
House of Cards,SEASON 5,,Netflix,2017
ID-0,,Anime,Netflix,2017
The Indian Detective,,Canadian series,Netflix,2017
Inspector Gadget,SEASON 4,,Netflix,2017
Jack Whitehall: Travels With My Father,,,Netflix,2017
The Joel McHale Show With Joel McHale,,Extended by 6 eps on 5/11,Netflix,2017
Knights of the Zodiac: Saint Seiya,starts tbd,,Netflix,2017
Kong: King of the Apes,SEASON 2,,Netflix,2017
La casa de papel (aka Money Heist),,Spanish series,Netflix,2017
La Mante (aka The Mantis),,French series,Netflix,2017
Lady Dynamite,SEASON 2,Canceled 1/13,Netflix,2017
Last Chance U,SEASON 2,Renewed for a 3rd season on 8/24,Netflix,2017
LEGO Elves: Secrets of Elvendale,,,Netflix,2017
The Letdown,,Australian series,Netflix,2017
A Little Help With Carol Burnett,,,Netflix,2017
Live,,Korean series,Netflix,2017
Llama Llama,,,Netflix,2017
Longmire,SEASON 6,Ending (again) with this 6th season,Netflix,2017
Lost in Space,,Renewed for a 2nd season on 5/14,Netflix,2017
Love,SEASON 3,Ending with this 3rd season,Netflix,2017
Lovesick,SEASON 3,,Netflix,2017
Luna Petunia,SEASON 2,,Netflix,2017
Luna Petunia,SEASON 3,,Netflix,2017
Luna Petunia: Return to Amazia,,,Netflix,2017
The Magic School Bus Rides Again,,Revival of classic children's show,Netflix,2017
The Magic School Bus Rides Again,SEASON 2,,Netflix,2017
Marseille,SEASON 2,French series,Netflix,2017
Marvel's The Defenders,,Miniseries,Netflix,2017
Marvel's Jessica Jones,SEASON 2,Renewed for a 3rd season on 4/12,Netflix,2017
Marvel's The Punisher,,Renewed for a 2nd season on 12/12,Netflix,2017
O Mecanismo (The Mechanism),,Brazilian series,Netflix,2017
Mindhunter,,Renewed for a 2nd season on 11/30,Netflix,2017
Mob Psycho 100,,Japanese series,Netflix,2017
Money Heist,SEASON 2,Spanish series; renewed for S3 on 4/18,Netflix,2017
My Next Guest Needs No Introduction With David Letterman,,,Netflix,2017
Narcos,SEASON 3,Previously renewed through S4,Netflix,2017
Neo Yokio,,,Netflix,2017
The New Legends of Monkey,,,Netflix,2017
On My Block,,Renewed for a 2nd season on 4/13,Netflix,2017
One Day at a Time,SEASON 2,Renewed for a 3rd season on 3/26,Netflix,2017
Orange Is the New Black,SEASON 5,Renewed through S7 on 2/5/16,Netflix,2017
Ozark,,Renewed for a 2nd season on 8/15,Netflix,2017
Peaky Blinders,SEASON 4,Previously renewed through S5 (in the UK),Netflix,2017
Queer Eye,,Revival of Bravo reality series; renewed 3/26,Netflix,2017
The Rain,,Scandinavian series; renewed 5/30,Netflix,2017
The Ranch,PART 3,,Netflix,2017
The Ranch,PART 4,,Netflix,2017
Rapture,,Documentary series,Netflix,2017
Real Rob,SEASON 2,,Netflix,2017
ReBoot: The Guardian Code,,,Netflix,2017
Requiem,,British series,Netflix,2017
Rotten,,Documentary series,Netflix,2017
Safe,,,Netflix,2017
Santa Clarita Diet,SEASON 2,Renewed for a 3rd season on 5/8,Netflix,2017
A Series of Unfortunate Events,SEASON 2,Previously renewed; will end with S3,Netflix,2017
Seven Seconds,,Canceled 4/18,Netflix,2017
She's Gotta Have It,,Renewed for a 2nd season on 1/1,Netflix,2017
Skylanders Academy,SEASON 2,Previously renewed through S3,Netflix,2017
Spirit: Riding Free,SEASON 2,,Netflix,2017
Spirit: Riding Free,SEASON 3,,Netflix,2017
Spirit: Riding Free,SEASON 4,,Netflix,2017
Spirit: Riding Free,SEASON 5,,Netflix,2017
Spy Kids: Mission Critical,,,Netflix,2017
The Standups,,Renewed for a 2nd season on 10/27,Netflix,2017
The Standups,SEASON 2,,Netflix,2017
Stranger Things,SEASON 2,Renewed for a 3rd season on 12/1,Netflix,2017
Stretch Armstrong and the Flex Fighters,,,Netflix,2017
Stretch Armstrong: The Breakout,,,Netflix,2017
Suburra,,Italian series; renewed on 1/30,Netflix,2017
Super Monsters,,,Netflix,2017
Sword Gai: The Animation,,Anime,Netflix,2017
Tabula Rasa,,Belgian series,Netflix,2017
Tiempos de guerra,,Spanish-language series,Netflix,2017
Trailer Park Boys,SEASON 12,,Netflix,2017
Travelers,SEASON 2,Renewed for a 3rd season on 3/15,Netflix,2017
Trolls: The Beat Goes On!,,,Netflix,2017
Trolls: The Beat Goes On!,SEASON 2,,Netflix,2017
Trollhunters,SEASON 2,,Netflix,2017
Trollhunters,SEASON 3,Ending with this third season,Netflix,2017
Troy: Fall of a City,,,Netflix,2017
True and The Rainbow Kingdom,,,Netflix,2017
Ugly Delicious,,,Netflix,2017
Ultimate Beastmaster,SEASON 2,Renewed for a 3rd season on 2/27,Netflix,2017
Unbreakable Kimmy Schmidt,SEASON 4 resumes 1/25,Ending with this 4th season,Netflix,2017
Violet Evergarden,,Anime,Netflix,2017
Voltron: Legendary Defender,SEASON 3,,Netflix,2017
Voltron: Legendary Defender,SEASON 4,,Netflix,2017
Voltron: Legendary Defender,SEASON 5,,Netflix,2017
Wakfu,SEASON 3,,Netflix,2017
Wet Hot American Summer: Ten Years Later,,,Netflix,2017
White Gold,,British series; renewed but S2 may not air,Netflix,2017
The Who Was? Show,,,Netflix,2017
Wild Wild Country,,,Netflix,2017
Word Party,SEASON 3,,Netflix,2017
Wormwood,,Miniseries,Netflix,2017
The Worst Witch,,,Netflix,2017
Absentia,,Renwed 9/13/18,Amazon Prime Video,2017
The Adventures of Rocky and Bullwinkle,,,Amazon Prime Video,2017
All or Nothing: A Season With the Los Angeles Rams,(SEASON 2),,Amazon Prime Video,2017
All or Nothing: The Michigan Wolverines,(SEASON 3),,Amazon Prime Video,2017
All or Nothing: The Dallas Cowboys,(SEASON 4),,Amazon Prime Video,2017
Bosch,SEASON 4,Renewed for a 5th season on 2/13,Amazon Prime Video,2017
Breathe,,Indian series,Amazon Prime Video,2017
Britannia,,,Amazon Prime Video,2017
Comrade Detective,,,Amazon Prime Video,2017
The Dangerous Book for Boys,,Canceled 8/1/18,Amazon Prime Video,2017
Dino Dana,SEASON 2,,Amazon Prime Video,2017
Fearless,,UK series,Amazon Prime Video,2017
Grand Prix Driver,,,Amazon Prime Video,2017
The Grand Tour,SEASON 2,Previously renewed through S3,Amazon Prime Video,2017
Jean-Claude Van Johnson,,Canceled 1/17,Amazon Prime Video,2017
The Last Post,,,Amazon Prime Video,2017
The Last Tycoon,,Canceled 9/9,Amazon Prime Video,2017
Le Mans: Racing is Everything,,,Amazon Prime Video,2017
Long Strange Trip,,Documentary miniseries,Amazon Prime Video,2017
Lore,,Renewed for a 2nd season on 2/26,Amazon Prime Video,2017
The Marvelous Mrs. Maisel,,Initial order is for 2 seasons; S3 renewal on 5/20/18,Amazon Prime Video,2017
Mozart in the Jungle,SEASON 4,,Amazon Prime Video,2017
Novak,starts tbd,Series canceled 11/25/17 prior to airing,Amazon Prime Video,2017
One Mississippi,SEASON 2,Canceled 1/17,Amazon Prime Video,2017
Ordeal By Innocence,starts tbd,Project in jeopardy due to Ed Westwick scandal,Amazon Prime Video,2017
Philip K. Dick's Electric Dreams,,,Amazon Prime Video,2017
Picnic at Hanging Rock,,Australian miniseries,Amazon Prime Video,2017
Red Oaks,SEASON 3,Ending with this 3rd season,Amazon Prime Video,2017
Sneaky Pete,SEASON 2,Renewed for a 3rd season on 7/28/18,Amazon Prime Video,2017
The Tick,,Renewed for a 2nd season on 1/17,Amazon Prime Video,2017
Tin Star,,British series,Amazon Prime Video,2017
Transparent,SEASON 4,Renewed for a 5th season on 8/24,Amazon Prime Video,2017
Untitled David O. Russell crime drama,,Canceled 10/13 prior to filming start,Amazon Prime Video,2017
You Are Wanted,SEASON 2,German series,Amazon Prime Video,2017
Z: The Beginning of Everything,SEASON 2,Canceled 9/7; S2 will not air,Amazon Prime Video,2017
All Night,,,Hulu,2017
Cardinal,,Canadian series; renewed through S3,Hulu,2017
Cardinal,SEASON 2,Canadian series; renewed through S3,Hulu,2017
Casual,SEASON 3,Renewed for a 4th (final) season on 10/19,Hulu,2017
Chance,SEASON 2,Canceled 1/9,Hulu,2017
Difficult People,SEASON 3,Canceled 11/14,Hulu,2017
Freakish,SEASON 2,,Hulu,2017
Future Man,,Renewed for a 2nd season on 1/8,Hulu,2017
The Handmaid's Tale,SEASON 2,Renewed for a 3rd season on 5/2,Hulu,2017
Hard Sun,,,Hulu,2017
"I Love You, America",,Renewed 4/15,Hulu,2017
The Looming Tower,,,Hulu,2017
Marvel's Runaways,,Renewed for a 2nd season on 1/8,Hulu,2017
The Mindy Project,SEASON 6,Ending with this 6th season,Hulu,2017
National Treasure: Kiri,,Miniseries sequel,Hulu,2017
The Path,SEASON 3,Canceled 4/24,Hulu,2017
Pure,,"Canadian series; renewed, but S2 to air on WGN",Hulu,2017
Shut Eye,SEASON 2,Canceled 1/30,Hulu,2017
There's ... Johnny!,,Moved from Seeso,Hulu,2017
American Crime Story,SEASON 2 (Versace),S3 (Katrina) will now start in 2018-19,FX Networks,2017
American Horror Story,SEASON 7 (Cult),Previously renewed through S9,FX Networks,2017
The Americans,SEASON 6,Ending with this 6th season,FX Networks,2017
Archer,SEASON 9,Previously renewed through S10,FX Networks,2017
Atlanta,SEASON 2,Renewed for a 3rd season on 6/7/18,FX Networks,2017
Baskets,SEASON 3,Renewed for a 4th season on 5/24,FX Networks,2017
Better Things,SEASON 2,Renewed for a 3rd season on 10/19,FX Networks,2017
Legion,SEASON  2,Renewed for a 3rd season on 6/1,FX Networks,2017
Snowfall,,Renewed for a 2nd season on 8/9,FX Networks,2017
The Strain,SEASON 4,Ending with this 4th season,FX Networks,2017
Trust,,,FX Networks,2017
You're the Worst,SEASON 4,Renewed for a 5th (final) season on 11/15,FX Networks,2017
100 Code,,USA debut of Swedish series,WGN,2017
The A Word,SEASON 2,,SUND,2017
Acceptable Risk,,,ACORN,2017
Adam Ruins Everything,SEASON 2,Renewed for a 3rd season on 5/9,TRU,2017
The Alienist,,Sequel miniseries ordered 8/16/18,TNT,2017
All That Glitters,,Canceled 9/15 prior to production,BRAV,2017
Alone Together,,Renewed for a 2nd season on 10/18,FREEF,2017
American Dad!,SEASON 13,,TBS,2017
American Dad!,SEASON 14,Renewed through S16 on 1/11/18,TBS,2017
Animal Kingdom,SEASON 2,Renewed for a 3rd season on 7/27,TNT,2017
Animal Kingdom,SEASON 3,Renewed for a 4th season on 7/2/18,TNT,2017
Another Period,SEASON 3,,COM,2017
Apollo Gauntlet,,,ADSW,2017
The Arrangement,SEASON 2,Canceled 5/29,E!,2017
Ash vs. Evil Dead,SEASON 3,Canceled 4/20,STRZ,2017
At Home With Amy Sedaris,,Renewed for a 2nd season on 4/18,TRU,2017
Back,,,SUND,2017
Bajillion Dollar Propertie$,SEASON 3,Network defunct; unsure where/if this will air,SEESO,2017
Ballmastrz: 9009,,,ADSW,2017
Baroness Von Sketch Show,,2 seasons aired; renewed 10/25 for S3,IFC,2017
Bellevue,,Canadian series,WGN,2017
Berlin Station,SEASON 2,Renewed for a 3rd season on 12/6,EPIX,2017
Beyond,SEASON 2,Canceled 3/29,FREEF,2017
Blood Drive,,Canceled 9/6,SYFY,2017
The Bold Type,,Renewed through S3 on 10/4,FREEF,2017
The Breaks,SEASON 2,"Was moving from VH1, but  canceled 11/20",BET,2017
Broad City,SEASON 4,Renewed through S5 on 1/6/16; to end with S5,COM,2017
Broadchurch,SEASON 3,Ending with this 3rd season,BBCA,2017
Brockmire,SEASON 2,Renewed through S4 on 3/29,IFC,2017
Call the Midwife,SEASON 7,,PBS,2017
C.B. Strike,starts 6/1,fka Cormoran Strike,MAX,2017
Channel Zero,SEASON 2 (No-End House),Renewed through S4 on 2/9/17,SYFY,2017
Channel Zero,SEASON 3 (Butcher's Block),Renewed through S4 on 2/9/17,SYFY,2017
Chesapeake Shores,SEASON 2,Renewed for a 3rd season on 1/13,HALL,2017
The Chris Gethard Show,SEASON 3,Canceled 8/6/18,TRU,2017
Claws,,Renewed for a 2nd season on 7/12,TNT,2017
Cleverman,SEASON 2,,SUND,2017
Cobra Kai,,YouTube Premium series; renewed 5/10,YT,2017
The Collection,,,PBS,2017
Colony,SEASON 3,Canceled 7/22/18,USA,2017
Con Man,,Syfy will air S1 & S2 of the web series,SYFY,2017
The Cops,,Project canceled 1/8; will never air,TBS,2017
Corporate,,Renewed for a 2nd season on 2/26,COM,2017
Counterpart,,Initial order is for 2 seasons,STRZ,2017
Damnation,,Canceled 1/25,USA,2017
Dark Matter,SEASON 3,Canceled 9/1,SYFY,2017
Daytime Divas,,Canceled 11/1,VH1,2017
Detectorists,SEASON 3,UK series,ACORN,2017
The Detour,SEASON 3,Renewed for a 4th season on 5/11,TBS,2017
Dirk Gently's Holistic Detective Agency,SEASON 2,,BBCA,2017
Drunk History,SEASON 5,Renewed for a 6th season on 2/22,COM,2017
The Durrells in Corfu,SEASON 2,,PBS,2017
Endeavour,SEASON 4,,PBS,2017
The Expanse,SEASON 3,Canceled 5/10; picked up by Amazon on 5/25,SYFY,2017
Falling Water,SEASON 2,Canceled 5/18,USA,2017
Famous in Love,SEASON 2,Canceled 6/26/18,FREEF,2017
Fear the Walking Dead,SEASON 3,Renewed for a 4th season on 4/14,AMC,2017
Fear the Walking Dead,SEASON 4,,AMC,2017
Final Space,,Renewed for a 2nd season on 5/7,TBS,2017
Flowers,SEASON 2 starts tbd,Network defunct; unsure where/if this will air,SEESO,2017
The Fosters,SEASON 5,Canceled 1/3; miniseries finale in June,FREEF,2017
Full Frontal with Samantha Bee,S2,Renewed through S4 on 1/11/18,TBS,2017
Full Frontal with Samantha Bee,SEASON 3,,TBS,2017
Genius,SEASON 2 (Picasso),Renewed for a 3rd season on 4/18,NGC,2017
Get Shorty,,Renewed for a 2nd season on 8/23,EPIX,2017
Ghost Wars,,,SYFY,2017
The Girlfriend Experience,SEASON  2,,STRZ,2017
Girlfriends,,,ACORN,2017
Girlfriends' Guide to Divorce,SEASON 4,Renewed for a  (final) S5 on 4/13/16,BRAV,2017
Good Behavior,SEASON  2,Likely to end with movie or short S3,TNT,2017
Good Witch,SEASON 4,Renewed for a 5th season on 7/26/18,HALL,2017
Grantchester,SEASON 3,Renewed 4/12,PBS,2017
Graves,SEASON  2,Canceled 12/21,EPIX,2017
Greenleaf,SEASON  2,Renewed for a 3rd season on 8/7,OWN,2017
grown-ish,,Renewed for a 2nd season on 1/18,FREEF,2017
The Guest Book,,Renewed for a 2nd season on 9/13,TBS,2017
The Halcyon,,,OVAT,2017
Halt and Catch Fire,SEASON  4,Ending with this 4th season,AMC,2017
Hap and Leonard,SEASON 3,Canceled 5/14,SUND,2017
Happy!,,Renewed for a 2nd season on 1/29,SYFY,2017
HarmonQuest,SEASON 2,Moving to VRV from Seeso,VRV,2017
Hit the Road,,,DIREC,2017
Hot Date,,,POP,2017
Hot Streets,,,ADSW,2017
Howards End,,Miniseries,STRZ,2017
Ice,SEASON 2,,DIREC,2017
I'm Sorry,,Renewed for a 2nd season on 8/17,TRU,2017
Idiotsitter,SEASON 2,,COM,2017
Imposters,SEASON  2,Canceled 6/1,BRAV,2017
In Contempt,,,BET,2017
Innocent,,Exclusive to Sundance Now streaming service,SUND,2017
Into the Badlands,SEASON 3,,AMC,2017
The Jellies!,,,ADSW,2017
The Jim Jefferies Show,,Renewed for a 2nd season on 1/15,COM,2017
The Jim Jefferies Show,SEASON 2,,COM,2017
Joe Pera Talks With You,,,ADSW,2017
Killing Eve,,Renewed for a 2nd season on 4/5,BBCA,2017
Killjoys,SEASON 3,Renewed for  2 final seasons on 9/1,SYFY,2017
Knightfall,,Renewed for a 2nd season on 8/13/18,HIST,2017
Krypton,,Renewed 5/22,SYFY,2017
The Last O.G.,,Renewed for a 2nd season on 4/23,TBS,2017
The Last Ship,SEASON 4,Renewed for a 5th season on 9/8/16,TNT,2017
Legends of Chamberlain Heights,S2,,COM,2017
Let's Get Physical,,,POP,2017
Liar,,Renewed for a 2nd season on 1/13,SUND,2017
The Librarians,SEASON 4,Canceled 3/8,TNT,2017
Little Women,,Miniseries (Masterpiece),PBS,2017
Loaded,,,AMC,2017
Loch Ness,,,ACRN,2017
The Long Road Home,,Scripted miniseries,NGC,2017
Loudermilk,,Renewed for a 2nd season on 4/12,DIREC,2017
The Magicians,SEASON 3,Renewed for a 4th season on 2/28,SYFY,2017
Major Crimes,SEASON 6,Ending with this 6th season,TNT,2017
Manhunt: Unabomber,,Miniseries,DISC,2017
Marvel's Spider-Man,,,DISXD,2017
Mary Kills People,SEASON 2,,LIFE,2017
McMafia,,Renewed for a 2nd season on 7/28/18,AMC,2017
MECH-X4,SEASON 2,,DISXD,2017
Mike Judge Presents: Tales From the Tour Bus,,,MAX,2017
The Mist,,Canceled 9/27,SPIKE,2017
Motherland,,Sundance Now exclusive,SUND,2017
Mr. Mercedes,,Renewed for a 2nd season on 10/10,DIREC,2017
Mr. Robot,SEASON 3,Renewed for a 4th season on 12/13,USA,2017
Murder Is Forever,,Scripted series,ID,2017
Nashville,SEASON 6,Ending with this 6th season,CMT,2017
Nathan for You,SEASON 4,Confirmed as ended on 10/17/18,COM,2017
Nightcap,SEASON 2,,POP,2017
Nobodies,SEASON 2,Canceled 6/23/18 after 2 seasons,TVL,2017
The Oath,,Renewed for a 2nd season on 4/24,CRKL,2017
Odd Mom Out,SEASON 3,Canceled 10/6,BRAV,2017
The Opposition With Jordan Klepper,,,COM,2017
Outlander,SEASON 3,Renewed thru S4 on 6/1/16; thru S6 on 5/9/18,STRZ,2017
The Paynes,,,OWN,2017
People of Earth,SEASON 2,Renewed for a 3rd season on 9/13,TBS,2017
Planet Earth: Blue Planet II,,Miniseries,BBCA,2017
Playing House,SEASON 3,Canceled 10/30,USA,2017
Poldark,SEASON 3,,PBS,2017
Portlandia,SEASON 8,Ending with this 8th season,IFC,2017
Power,SEASON 4,Previously renewed through S5,STRZ,2017
Preacher,SEASON 2,Renewed for a 3rd season on 10/26,AMC,2017
Prime Suspect: Tennison,,,PBS,2017
Private Eyes,,Canadian series;  renewed through S3,ION,2017
The Quad,SEASON 2,Canceled 4/9,BET,2017
Queen of the South,SEASON 2,Renewed for a 3rd season on 8/10,USA,2017
Queen Sugar,SEASON 2,Renewed for a 3rd season on 7/26,OWN,2017
Queen Sugar,SEASON 3,Renewed for a 4th season on 8/8/18,OWN,2017
Raven's Home,,Renewed for a 2nd season on 10/10,DISN,2017
Rellik,,Miniseries,MAX,2017
Rick and Morty,SEASON 3,70-episode renewal on 5/10/18,ADSW,2017
Riviera,,streaming only (Sundance Now),SUND,2017
Rosehaven,,Sundance will air 2 seasons,SUND,2017
Rosehaven,SEASON 2,,SUND,2017
The Royals,SEASON 4,Canceled 8/16/18,E!,2017
Ryan Hansen Solves Crimes on Television,,Renewed 7/27/18,YT,2017
Saints & Sinners,SEASON 3,,BOUN,2017
Schitt's Creek,SEASON 4,Renewed for a 5th season on 3/6,POP,2017
Scream,SEASON 3 starts tbd,Short (6-episode) season,MTV,2017
Search Party,SEASON 2,Renewed for a 3rd season on 4/23,TBS,2017
Shadowhunters,SEASON 3,Canceled 6/4/18,FREEF,2017
The Shannara Chronicles,SEASON 2,Canceled 1/16,SPIKE,2017
Shoot the Messenger,,USA debut of Canadian series,WGN,2017
Shooter,SEASON 2,Renewed for a 3rd season on 12/4,USA,2017
The Sinner,,Renewed for a 2nd season on 3/16,USA,2017
Siren,,Renewed for a 2nd season on 5/15,FREEF,2017
Six,SEASON 2,Canceled 6/29/18,HIST,2017
South Park,SEASON 21,,COM,2017
The Split,,Renewed for a 2nd season on 5/31,SUND,2017
Stan Against Evil,SEASON 2,Renewed for a 3rd season on 1/12,IFC,2017
Star Wars Rebels,SEASON 4,Ending with this 4th season,DISXD,2017
StartUp,SEASON 2,Renewed for a 3rd season on 11/15,CRKL,2017
The State,,Miniseries,NGC,2017
Step Up: High Water,,YouTube Premium drama series; renewed 5/22,YT,2017
Still the King,SEASON 2,Canceled 11/17,CMT,2017
Stitchers,SEASON 3,Canceled 9/15,FREEF,2017
Strike Back,SEASON 5,Renewed for a 6th season on 3/27,MAX,2017
Striking Out,SEASON 2,,ACRN,2017
Suits,SEASON 7,Renewed for an 8th season on 1/30,USA,2017
SuperMansion,SEASON 3,,CRKL,2017
Superstition,,,SYFY,2017
Survivor's Remorse,SEASON 4,Canceled 10/10,STRZ,2017
Swedish Dicks,,,POP,2017
Sweetbitter,,Renewed for a 2nd season on 7/13/18,STRZ,2017
Take My Wife,SEASON 2,Moved to  iTunes after Seeso went under,APPL,2017
Tales,,,BET,2017
Tales From the Crypt,,Unfilmed; canceled due to legal issues,TNT,2017
Tarantula,,,TBS,2017
Taskmaster,,,COM,2017
The Terror,,Renewed for a 2nd season on 6/22/18,AMC,2017
This Close,,Sundance Now exclusive; renewed 4/18,SUND,2017
Tim & Eric's Bedtime Stories,SEASON 2,,ADSW,2017
Too Close to Home,SEASON 2,,TLC,2017
Top of the Lake: China Girl,,Miniseries sequel,SUND,2017
The Truth About the Harry Quebert Affair,starts tbd,,EPIX,2017
The Tunnel,"SEASON 2 (""Sabotage"")",,PBS,2017
Turn: Washington's Spies,SEASON 4,Ending with this 4th season,AMC,2017
Unforgotten,,Renewed through S3 in the UK,PBS,2017
UnReal,SEASON 3,Renewed for a 4th season on 7/28,LIFE,2017
Unsolved: The Murders of Tupac and the Notorious B.I.G.,,,USA,2017
Van Helsing,SEASON 2,Renewed for a 3rd season on 12/19,SYFY,2017
Versailles,SEASON 2,S3 picked up by Ovation on 1/16,OVAT,2017
Victoria,SEASON 2,Renewed for a 3rd season on 12/12,PBS,2017
Vida,,Renewed for a 2nd season on 6/12/18,STRZ,2017
The Vietnam War,,Documentary miniseries,PBS,2017
Vikings,SEASON 5,Renewed for a 6th season on 9/12,HIST,2017
Waco,,Paramount Network (formerly Spike),PAR,2017
The Walking Dead,SEASON 8,Renewed for a 9th season on 1/13,AMC,2017
What Would Diplo Do?,,Scripted series,VICEL,2017
When Calls the Heart,SEASON 5,Renewed for a 6th season on 3/22,HALL,2017
Will,,Canceled 9/5,TNT,2017
Wrecked,SEASON 2,Renewed for a 3rd season on 9/13,TBS,2017
Wynonna Earp,SEASON 2,Renewed for a 3rd season on 7/22,SYFY,2017
X Company,,Original order is for 3 seasons,OVAT,2017
X Company,SEASON 2,Previously renewed through S3,OVAT,2017
You Me Her,SEASON 3,Renewed through S5 on 7/27/18,DIREC,2017
Young & Hungry,SEASON 5,Ending with this last batch of episodes,FREEF,2017
Younger,SEASON 4,Renewed for a 5th season on 4/20,TVL,2017
Z Nation,SEASON 4,Renewed for a 5th season on 12/15,SYFY,2017
20/20,SEASON 41,Renewed 5/14,ABC,2018
"$100,000 Pyramid",SEASON 3,Renewed 8/7,ABC,2018
The Alec Baldwin Show,,Moved  to Saturdays 12/8; pulled 1/4,ABC,2018
America's Funniest Home Videos,SEASON 29,Renewed through S31 on 10/29,ABC,2018
American Housewife,SEASON 3,Renewed for a 4th season on 5/10,ABC,2018
American Idol,SEASON 17,Renewed for an 18th season on 5/13,ABC,2018
